year,round,date,constructorId,driverId,time,milliseconds,status,estPosition,estPoints,win,score
1990,4,1990-05-27,mclaren,berger,+2.073,6769055.0,finished,3,15,0.0,1652.1955225260656
1990,4,1990-05-27,ferrari,prost,\N,,battery,16,0,0.0,1705.9098058930933
1990,5,1990-06-10,mclaren,senna,1:42:56.400,6176400.0,finished,1,25,1.0,1767.7656862945507
1990,5,1990-06-10,mclaren,berger,+14.854,6191254.0,finished,4,12,0.0,1643.5006536391895
1990,5,1990-06-10,ferrari,prost,+15.820,6192220.0,finished,5,10,0.0,1691.5302171881162
1990,5,1990-06-10,tyrrell,alesi,\N,,spun off,20,0,0.0,1677.9151702973093
1990,6,1990-06-24,ferrari,prost,1:32:35.783,5555783.0,finished,1,25,1.0,1711.876844642727
1990,6,1990-06-24,mclaren,berger,+25.530,5581313.0,finished,3,15,1.0,1670.6005767469496
1990,6,1990-06-24,tyrrell,alesi,+49.077,5604860.0,finished,7,6,1.0,1689.9863108766374
1990,6,1990-06-24,mclaren,senna,\N,,tyre,20,0,0.0,1744.6657631867906
1990,7,1990-07-08,ferrari,prost,1:33:29.606,5609606.0,finished,1,25,1.0,1731.6557087454332
1990,7,1990-07-08,mclaren,senna,+11.606,5621212.0,finished,3,15,1.0,1758.6366315366938
1990,7,1990-07-08,mclaren,berger,+42.219,5651825.0,finished,5,10,0.0,1660.6297083970464
1990,7,1990-07-08,tyrrell,alesi,\N,,differential,23,0,0.0,1667.1605332906447
1990,8,1990-07-15,ferrari,prost,1:18:30.999,4710999.0,finished,1,25,1.0,1749.2691724130718
1990,8,1990-07-15,mclaren,senna,+43.088,4754087.0,finished,3,15,1.0,1772.8873638852006
1990,8,1990-07-15,tyrrell,alesi,\N,,+1 lap,8,4,1.0,1680.67339757833
1990,8,1990-07-15,mclaren,berger,\N,,throttle,14,0,0.0,1650.3789760485397
1990,9,1990-07-29,mclaren,senna,1:20:47.164,4847164.0,finished,1,25,1.0,1784.3743222608286
1990,9,1990-07-29,mclaren,berger,+8.553,4855717.0,finished,3,15,0.0,1642.8920176729116
1990,9,1990-07-29,ferrari,prost,+45.270,4892434.0,finished,4,12,1.0,1765.0494263387668
1990,9,1990-07-29,tyrrell,alesi,\N,,transmission,11,0,1.0,1691.048564624127
1990,10,1990-08-12,mclaren,senna,+0.288,6570885.0,finished,2,18,1.0,1796.450736586121
1990,10,1990-08-12,mclaren,berger,\N,,collision,16,0,0.0,1634.8156033476193
1990,10,1990-08-12,ferrari,prost,\N,,gearbox,21,0,0.0,1745.3033728394264
1990,10,1990-08-12,tyrrell,alesi,\N,,collision,22,0,1.0,1700.6534563420191
1990,11,1990-08-26,mclaren,senna,1:26:31.997,5191997.0,finished,1,25,1.0,1806.1293717327821
1990,11,1990-08-26,ferrari,prost,+3.550,5195547.0,finished,2,18,1.0,1762.0075684639198
1990,11,1990-08-26,mclaren,berger,+28.462,5220459.0,finished,3,15,0.0,1629.136968200958
1990,11,1990-08-26,tyrrell,alesi,\N,,+1 lap,8,4,1.0,1711.602378201963
1990,12,1990-09-09,mclaren,senna,1:17:57.878,4677878.0,finished,1,25,1.0,1815.1730384276796
